incident_id,reported_at,city,neighborhood,animal_type,animal_count,age_group,behavior,mobility,weather,report_channel,traffic_risk,near_traffic,near_school,very_thin,bleeding,open_wound,pregnant_or_nursing,has_collar,reporter_confidence,visible_injury,severity_score,priority,resolution_time_hours,outcome
INC-100010,2025-09-02 03:20:51,Tirana,Paskuqan,Cat,1,Puppy/Kitten,Calm,Unknown,Clear,App,High,1,0,0,0,0,0,0,4,No,21,P3,55.29,Unable to Locate
INC-100011,2025-01-18 19:06:51,Tirana,Selitë,Dog,1,Adult,Calm,Normal,Rain,Call,Low,0,0,0,1,0,0,0,3,No,43,P2,11.35,Treated & Released
INC-100012,2025-11-29 04:08:20,Tirana,Don Bosko,Dog,1,Puppy/Kitten,Unknown,Unknown,Clear,Walk-in,High,1,1,0,0,0,0,1,2,Yes,30,P3,63.6,Monitor
INC-100013,2025-11-20 22:28:21,Tirana,Astir,Dog,2,Puppy/Kitten,Fearful,Unknown,Clear,Call,Low,0,0,0,0,0,0,0,4,Yes,24,P3,142.02,Monitor
INC-100014,2025-04-14 16:24:49,Tirana,Rruga e Kavajës,Dog,1,Senior,Unknown,Normal,Rain,WhatsApp,Low,0,0,0,0,0,0,0,1,No,18,P3,45.25,Treated & Released
INC-100015,2025-10-11 03:57:15,Tirana,Don Bosko,Dog,3,Adult,Fearful,Limping,Rain,App,Low,0,0,1,0,0,0,0,1,Yes,36,P3,69.0,Treated & Released
INC-100016,2025-12-26 09:16:15,Tirana,Selitë,Dog,1,Adult,Fearful,Limping,Cold,App,Low,0,0,0,1,0,0,0,3,Yes,65,P2,9.93,Shelter Intake
INC-100017,2025-10-29 08:50:36,Tirana,Kombinat,Dog,1,Adult,Fearful,Normal,Rain,WhatsApp,Low,0,0,0,0,0,0,0,1,No,15,P3,45.91,Shelter Intake
INC-100018,2025-06-05 19:07:36,Tirana,Blloku,Dog,1,Adult,Unknown,Normal,Clear,Email,High,1,0,1,0,0,0,0,1,Yes,30,P3,34.26,Monitor
INC-100019,2025-12-07 08:20:17,Tirana,Rruga e Kavajës,Cat,3,Unknown,Aggressive,Immobile,Rain,Call,High,1,0,0,0,0,1,0,3,Yes,32,P3,65.2,Unable to Locate
INC-100020,2025-12-10 13:50:40,Tirana,21 Dhjetori,Cat,1,Unknown,Fearful,Immobile,Cold,Call,High,1,0,1,0,0,0,0,5,Yes,57,P2,20.2,Referred to Partner Vet
INC-100021,2025-10-17 07:48:02,Tirana,Fresku,Cat,1,Senior,Calm,Normal,Clear,Call,High,1,0,0,0,0,0,0,3,No,28,P2,11.57,Unable to Locate
INC-100022,2025-08-15 14:55:15,Tirana,Yzberisht,Cat,2,Puppy/Kitten,Calm,Unknown,Heatwave,WhatsApp,Low,0,0,0,0,0,1,0,4,Yes,38,P2,11.61,Shelter Intake
INC-100023,2025-07-17 21:07:45,Tirana,Kinostudio,Dog,3,Puppy/Kitten,Calm,Limping,Clear,App,Medium,1,0,0,1,0,0,0,1,No,59,P2,16.02,Shelter Intake
INC-100024,2025-03-01 08:35:03,Tirana,Selitë,Dog,1,Adult,Fearful,Limping,Clear,WhatsApp,High,1,1,0,0,0,0,0,3,No,37,P3,65.77,Treated & Released
INC-100025,2025-01-25 16:07:16,Tirana,Yzberisht,Cat,1,Unknown,Aggressive,Normal,Clear,Call,Medium,1,1,0,0,0,0,0,3,No,37,P3,41.92,Treated & Released
INC-100026,2025-04-08 15:20:57,Tirana,Fresku,Dog,3,Adult,Unknown,Immobile,Clear,Walk-in,High,1,0,0,0,0,0,0,5,No,32,P3,38.03,Treated & Released
INC-100027,2025-12-10 14:49:33,Tirana,Fresku,Cat,1,Adult,Calm,Limping,Clear,App,Medium,1,0,0,0,0,0,0,3,No,25,P3,53.63,Treated & Released
INC-100028,2025-04-24 23:37:10,Tirana,Yzberisht,Dog,1,Adult,Aggressive,Normal,Rain,Call,Low,0,1,0,0,0,0,0,3,No,32,P3,46.68,Treated & Released
INC-100029,2025-12-07 03:32:27,Tirana,Rruga e Kavajës,Cat,1,Unknown,Fearful,Normal,Cold,App,Low,0,0,0,0,0,0,0,2,No,22,P3,65.23,Treated & Released
INC-100030,2025-07-17 03:56:10,Tirana,21 Dhjetori,Dog,1,Puppy/Kitten,Calm,Normal,Clear,Call,High,1,0,0,0,0,0,0,1,No,34,P3,61.24,Unable to Locate
INC-100031,2025-09-06 03:26:27,Tirana,Fresku,Dog,1,Puppy/Kitten,Calm,Normal,Rain,App,Medium,1,0,0,0,0,0,0,3,Yes,26,P3,37.68,Treated & Released
INC-100032,2025-07-29 11:22:36,Tirana,Myslym Shyri,Dog,2,Adult,Calm,Normal,Clear,Call,Medium,0,0,0,0,0,0,0,1,No,21,P3,34.8,Shelter Intake
INC-100033,2025-02-13 10:40:57,Tirana,21 Dhjetori,Cat,2,Adult,Calm,Unknown,Rain,App,Low,0,0,0,0,0,0,0,2,No,15,P3,29.34,Referred to Partner Vet
INC-100034,2025-04-30 10:14:21,Tirana,Don Bosko,Dog,1,Adult,Unknown,Unknown,Clear,Walk-in,Low,0,0,0,0,0,0,0,4,Yes,8,P3,31.32,Shelter Intake
INC-100035,2025-01-31 14:04:08,Tirana,Laprakë,Cat,1,Adult,Calm,Normal,Cold,WhatsApp,Medium,1,0,0,0,0,0,1,2,No,32,P3,64.37,Shelter Intake
INC-100036,2025-07-26 21:10:52,Tirana,Myslym Shyri,Dog,1,Unknown,Weak,Unknown,Clear,Call,Medium,1,0,0,0,0,0,0,2,Yes,29,P3,60.15,Shelter Intake
INC-100037,2025-08-02 12:32:27,Tirana,Ali Demi,Cat,1,Unknown,Calm,Immobile,Clear,WhatsApp,High,1,0,0,0,0,0,0,3,Yes,32,P2,17.38,Referred to Partner Vet
INC-100038,2025-03-24 06:06:08,Tirana,21 Dhjetori,Dog,2,Adult,Calm,Immobile,Rain,App,High,1,0,0,0,0,0,0,1,No,33,P3,69.38,Treated & Released
INC-100039,2025-09-18 20:34:34,Tirana,Selitë,Cat,3,Adult,Aggressive,Limping,Rain,App,Low,0,0,0,0,0,0,0,3,Yes,25,P3,28.59,Shelter Intake
INC-100040,2025-02-16 23:50:27,Tirana,Don Bosko,Dog,1,Unknown,Unknown,Normal,Cold,App,Medium,1,0,1,0,0,0,0,5,Yes,45,P3,143.37,Shelter Intake
INC-100041,2025-08-04 02:55:22,Tirana,Don Bosko,Dog,1,Adult,Weak,Normal,Clear,Call,Low,0,0,0,0,0,0,0,2,Yes,18,P3,39.69,Shelter Intake
INC-100042,2025-01-23 20:44:35,Tirana,Don Bosko,Dog,2,Adult,Fearful,Limping,Clear,Call,Medium,1,0,0,0,1,0,0,3,No,47,P2,12.9,Treated & Released
INC-100043,2025-01-28 12:26:18,Tirana,Fresku,Dog,3,Adult,Fearful,Normal,Cold,App,Low,0,0,0,0,0,0,0,4,Yes,14,P3,29.62,Shelter Intake
INC-100044,2025-07-29 10:01:28,Tirana,Ali Demi,Cat,1,Puppy/Kitten,Aggressive,Limping,Clear,Call,Low,0,0,0,0,0,0,0,4,Yes,28,P3,43.78,Shelter Intake
INC-100045,2025-06-08 02:04:25,Tirana,Don Bosko,Dog,1,Puppy/Kitten,Calm,Unknown,Clear,Call,Medium,1,0,0,0,0,0,0,4,Yes,22,P3,32.1,Treated & Released
INC-100046,2025-06-14 12:02:20,Tirana,Yzberisht,Cat,1,Adult,Fearful,Normal,Clear,Call,High,1,1,1,0,0,0,0,3,No,43,P2,12.14,Shelter Intake
INC-100047,2025-09-11 18:38:47,Tirana,Selitë,Dog,1,Unknown,Calm,Normal,Rain,Call,High,1,0,0,0,0,0,0,4,Yes,30,P2,16.46,Referred to Partner Vet
INC-100048,2025-11-07 22:03:46,Tirana,Xhamllik,Dog,1,Adult,Fearful,Normal,Rain,Call,Low,0,0,0,0,0,0,0,4,Yes,4,P3,40.39,Treated & Released
INC-100049,2025-06-24 05:22:52,Tirana,Ali Demi,Cat,1,Adult,Fearful,Normal,Clear,WhatsApp,Low,0,0,0,0,0,0,0,4,Yes,19,P3,36.61,Monitor
INC-100050,2025-12-06 14:47:59,Tirana,21 Dhjetori,Dog,2,Adult,Calm,Normal,Cold,Walk-in,High,1,1,0,1,0,0,0,4,Yes,66,P1,3.13,Referred to Partner Vet
INC-100051,2025-08-02 17:24:13,Tirana,Laprakë,Dog,1,Puppy/Kitten,Aggressive,Unknown,Rain,Call,High,1,1,0,0,0,0,0,5,No,36,P2,14.24,Referred to Partner Vet
INC-100052,2025-01-06 17:33:11,Tirana,Laprakë,Dog,1,Adult,Calm,Normal,Cold,Call,High,1,0,0,0,0,0,0,3,Yes,30,P3,51.14,Unable to Locate
INC-100053,2025-03-25 00:16:09,Tirana,Xhamllik,Cat,1,Adult,Aggressive,Normal,Clear,WhatsApp,Medium,1,0,0,0,1,0,0,2,No,35,P3,36.21,Treated & Released
INC-100054,2025-01-01 20:05:22,Tirana,Yzberisht,Cat,1,Puppy/Kitten,Unknown,Normal,Cold,WhatsApp,High,1,0,0,0,0,0,0,5,No,31,P3,58.94,Shelter Intake
INC-100055,2025-04-21 18:42:55,Tirana,Yzberisht,Cat,2,Puppy/Kitten,Calm,Normal,Clear,App,Medium,0,1,0,0,1,0,0,3,Yes,42,P3,50.91,Shelter Intake
INC-100056,2025-01-23 17:06:13,Tirana,Paskuqan,Dog,1,Adult,Fearful,Normal,Cold,Call,High,1,1,1,0,0,0,1,4,No,47,P2,21.68,Shelter Intake
INC-100057,2025-08-15 20:55:47,Tirana,Kinostudio,Dog,2,Adult,Aggressive,Normal,Clear,Walk-in,Low,0,0,0,0,0,0,0,2,Yes,21,P3,54.53,Unable to Locate
INC-100058,2025-11-27 15:05:15,Tirana,Ali Demi,Dog,2,Senior,Aggressive,Limping,Clear,App,Low,0,0,0,0,0,0,0,3,No,32,P3,39.04,Treated & Released
INC-100059,2025-04-02 08:15:33,Tirana,Yzberisht,Dog,3,Unknown,Fearful,Normal,Rain,App,Low,0,1,0,0,0,0,0,3,No,18,P3,40.67,Monitor
INC-100060,2025-08-13 19:55:00,Tirana,Paskuqan,Dog,2,Adult,Calm,Limping,Clear,Call,Low,0,0,1,1,1,0,0,1,Yes,65,P2,8.79,Referred to Partner Vet
INC-100061,2025-08-15 16:13:12,Tirana,Paskuqan,Cat,3,Adult,Calm,Immobile,Clear,App,Low,0,1,0,0,0,0,0,3,No,42,P2,9.43,Shelter Intake
INC-100062,2025-10-06 03:23:29,Tirana,Astir,Dog,2,Adult,Unknown,Normal,Cold,Call,Low,0,1,0,0,0,0,0,4,Yes,33,P3,35.53,Treated & Released
INC-100063,2025-09-08 16:30:12,Tirana,Blloku,Cat,2,Adult,Weak,Normal,Cold,Call,Low,0,0,0,0,0,0,0,2,Yes,25,P2,6.69,Treated & Released
INC-100064,2025-01-29 04:09:03,Tirana,Kombinat,Cat,1,Adult,Fearful,Normal,Cold,App,High,1,0,1,0,0,0,0,2,No,40,P3,37.73,Shelter Intake
INC-100065,2025-02-08 19:53:34,Tirana,Laprakë,Dog,3,Puppy/Kitten,Calm,Normal,Cold,WhatsApp,Medium,1,0,0,0,0,0,0,1,No,35,P3,39.29,Referred to Partner Vet
INC-100066,2025-05-16 12:59:53,Tirana,21 Dhjetori,Dog,2,Senior,Calm,Immobile,Rain,Call,Medium,1,0,1,0,0,0,0,1,No,45,P3,109.35,Unable to Locate
INC-100067,2025-03-03 06:18:25,Tirana,Kinostudio,Cat,1,Unknown,Unknown,Limping,Clear,Call,Medium,1,1,0,0,0,0,0,4,No,25,P3,28.99,Treated & Released
INC-100068,2025-09-11 23:30:03,Tirana,Fresku,Dog,1,Adult,Fearful,Limping,Clear,WhatsApp,Low,0,1,1,0,0,0,0,3,No,43,P3,54.98,Shelter Intake
INC-100069,2025-12-28 20:35:44,Tirana,Selitë,Dog,1,Unknown,Fearful,Normal,Cold,WhatsApp,Low,0,0,0,0,0,1,0,4,No,22,P3,50.96,Treated & Released
INC-100070,2025-02-14 19:52:23,Tirana,21 Dhjetori,Dog,2,Adult,Calm,Immobile,Cold,WhatsApp,High,1,0,0,0,0,0,0,4,No,38,P3,39.47,Treated & Released
INC-100071,2025-04-20 10:09:31,Tirana,Paskuqan,Dog,3,Puppy/Kitten,Fearful,Unknown,Clear,Call,Low,0,0,0,0,0,0,0,5,No,26,P3,50.21,Shelter Intake
INC-100072,2025-09-04 07:31:34,Tirana,Xhamllik,Cat,2,Adult,Calm,Normal,Clear,Call,Medium,0,0,0,0,0,1,0,4,No,9,P3,40.24,Shelter Intake
INC-100073,2025-12-19 16:39:20,Tirana,Xhamllik,Dog,1,Adult,Calm,Unknown,Clear,App,High,1,0,0,0,0,0,0,5,Yes,20,P3,42.88,Monitor
INC-100074,2025-04-18 10:50:47,Tirana,Kombinat,Dog,1,Adult,Weak,Normal,Clear,Call,Low,0,0,0,0,0,0,0,3,Yes,10,P3,22.86,Treated & Released
INC-100075,2025-04-12 17:36:00,Tirana,Ali Demi,Cat,1,Puppy/Kitten,Fearful,Limping,Clear,App,Low,0,0,0,0,0,0,0,3,No,33,P3,98.05,Unable to Locate
INC-100076,2025-01-04 18:07:41,Tirana,Laprakë,Dog,1,Adult,Unknown,Normal,Rain,Call,High,1,0,0,0,0,0,0,3,No,15,P3,56.54,Shelter Intake
INC-100077,2025-02-27 21:17:11,Tirana,Fresku,Dog,1,Adult,Aggressive,Normal,Cold,WhatsApp,Low,0,0,0,0,0,0,0,3,No,25,P3,53.09,Shelter Intake
INC-100078,2025-02-27 12:20:02,Tirana,Yzberisht,Dog,1,Adult,Unknown,Limping,Cold,Walk-in,High,1,0,1,0,0,0,0,3,Yes,42,P3,76.29,Treated & Released
INC-100079,2025-12-29 09:00:38,Tirana,Myslym Shyri,Dog,1,Adult,Fearful,Normal,Rain,App,Low,0,0,1,0,0,0,0,2,No,26,P3,87.41,Treated & Released
INC-100080,2025-04-07 21:47:08,Tirana,Selitë,Dog,1,Adult,Fearful,Limping,Rain,App,Low,0,0,1,0,0,0,0,1,Yes,28,P2,10.73,Unable to Locate
INC-100081,2025-12-06 16:54:48,Tirana,Yzberisht,Dog,1,Adult,Unknown,Limping,Cold,WhatsApp,High,1,0,0,0,0,1,0,3,No,38,P2,14.6,Monitor
INC-100082,2025-03-05 02:37:34,Tirana,Myslym Shyri,Dog,2,Adult,Calm,Normal,Clear,App,Low,0,0,0,0,0,0,0,5,No,19,P3,42.18,Monitor
INC-100083,2025-10-14 01:16:42,Tirana,21 Dhjetori,Cat,1,Senior,Weak,Limping,Rain,Call,Low,0,0,0,0,0,0,0,3,No,34,P3,100.21,Shelter Intake
INC-100084,2025-09-18 03:59:13,Tirana,Xhamllik,Dog,1,Senior,Calm,Unknown,Cold,Call,Low,0,0,0,0,0,0,0,1,Yes,26,P3,45.94,Unable to Locate
INC-100085,2025-02-11 23:31:27,Tirana,Yzberisht,Dog,1,Unknown,Unknown,Normal,Cold,App,Low,0,0,0,0,0,0,0,1,No,23,P3,52.09,Shelter Intake
INC-100086,2025-11-14 03:08:19,Tirana,21 Dhjetori,Cat,1,Adult,Fearful,Normal,Rain,App,Low,0,0,0,0,0,0,0,1,Yes,12,P3,45.37,Treated & Released
INC-100087,2025-12-05 09:19:09,Tirana,Don Bosko,Dog,1,Unknown,Weak,Limping,Cold,Call,Low,0,0,0,0,0,0,0,3,Yes,37,P3,53.98,Treated & Released
INC-100088,2025-05-08 11:37:23,Tirana,Blloku,Dog,1,Adult,Calm,Normal,Clear,App,Medium,1,1,0,0,0,0,0,5,No,26,P3,28.18,Treated & Released
INC-100089,2025-09-07 03:02:35,Tirana,Fresku,Cat,2,Adult,Calm,Normal,Clear,WhatsApp,Low,0,0,0,0,1,0,0,2,No,47,P3,47.15,Referred to Partner Vet
INC-100090,2025-05-09 14:32:25,Tirana,Kombinat,Dog,1,Adult,Calm,Normal,Rain,Call,Low,0,0,0,0,0,0,0,1,No,22,P3,48.25,Treated & Released
INC-100091,2025-08-14 11:29:18,Tirana,Blloku,Dog,1,Puppy/Kitten,Fearful,Limping,Clear,Call,Low,0,0,0,0,1,0,0,2,Yes,54,P3,55.67,Shelter Intake
INC-100092,2025-10-10 22:31:55,Tirana,Myslym Shyri,Cat,1,Unknown,Weak,Normal,Rain,Email,Low,0,0,0,0,0,0,0,5,No,12,P3,49.3,Treated & Released
INC-100093,2025-02-14 21:53:48,Tirana,Yzberisht,Dog,1,Puppy/Kitten,Unknown,Limping,Cold,Call,Low,0,0,0,0,0,0,0,4,Yes,38,P2,20.29,Shelter Intake
INC-100094,2025-01-01 15:45:49,Tirana,Fresku,Dog,1,Unknown,Calm,Normal,Clear,Call,Low,0,0,0,0,0,0,0,3,Yes,15,P3,41.54,Monitor
INC-100095,2025-09-15 23:08:38,Tirana,21 Dhjetori,Cat,1,Adult,Calm,Normal,Rain,App,High,1,0,1,0,0,0,0,3,No,40,P3,40.87,Treated & Released
INC-100096,2025-02-18 09:35:31,Tirana,Rruga e Kavajës,Cat,1,Puppy/Kitten,Aggressive,Normal,Rain,Email,Medium,0,1,0,0,0,0,0,3,No,32,P3,69.17,Treated & Released
INC-100097,2025-05-07 16:14:42,Tirana,Yzberisht,Cat,2,Adult,Weak,Normal,Rain,WhatsApp,Low,0,0,0,0,0,0,0,4,No,24,P3,33.76,Treated & Released
INC-100098,2025-09-16 05:35:29,Tirana,Yzberisht,Dog,1,Adult,Weak,Limping,Rain,App,Low,0,0,0,0,0,0,0,3,No,29,P3,41.48,Shelter Intake
INC-100099,2025-08-01 19:08:41,Tirana,Xhamllik,Dog,3,Adult,Fearful,Normal,Heatwave,Call,Low,0,0,0,0,0,0,0,2,Yes,20,P3,24.08,Unable to Locate
INC-100100,2025-11-02 03:48:11,Tirana,Paskuqan,Cat,1,Senior,Fearful,Normal,Rain,Call,Low,0,0,0,0,0,0,0,3,No,17,P3,35.42,Treated & Released
INC-100101,2025-03-24 23:50:29,Tirana,Fresku,Cat,1,Adult,Calm,Limping,Clear,WhatsApp,Low,0,1,0,0,0,0,0,3,No,31,P2,12.6,Monitor
INC-100102,2025-10-13 19:39:28,Tirana,Ali Demi,Dog,1,Adult,Unknown,Normal,Cold,WhatsApp,Low,0,0,0,0,1,0,0,3,Yes,45,P2,11.63,Shelter Intake
INC-100103,2025-08-29 11:55:44,Tirana,Astir,Dog,3,Adult,Fearful,Normal,Heatwave,Walk-in,Low,0,0,0,0,0,0,0,2,No,25,P3,52.55,Shelter Intake
INC-100104,2025-09-19 06:54:36,Tirana,Blloku,Dog,2,Adult,Calm,Normal,Clear,Walk-in,Low,0,0,0,0,0,0,0,4,No,15,P3,37.92,Shelter Intake
INC-100105,2025-01-18 22:44:35,Tirana,Don Bosko,Cat,3,Senior,Calm,Normal,Clear,WhatsApp,Low,0,0,1,0,0,0,0,4,No,33,P3,33.98,Unable to Locate
INC-100106,2025-06-26 20:47:10,Tirana,Yzberisht,Dog,2,Adult,Weak,Normal,Clear,Walk-in,Medium,1,0,0,0,0,0,0,2,No,22,P3,37.06,Shelter Intake
INC-100107,2025-06-05 05:02:04,Tirana,Don Bosko,Dog,1,Unknown,Weak,Normal,Clear,Email,Low,0,1,0,1,0,0,0,2,Yes,58,P3,143.0,Referred to Partner Vet
INC-100108,2025-10-19 15:29:46,Tirana,Xhamllik,Dog,1,Adult,Calm,Unknown,Rain,Walk-in,Low,0,0,0,0,0,0,0,3,No,20,P3,36.81,Treated & Released
INC-100109,2025-11-09 06:50:49,Tirana,Rruga e Kavajës,Cat,1,Adult,Fearful,Limping,Clear,WhatsApp,Low,0,0,1,0,1,0,0,4,Yes,54,P2,15.96,Referred to Partner Vet
INC-100110,2025-11-26 11:04:04,Tirana,Laprakë,Cat,2,Adult,Aggressive,Normal,Rain,Call,Medium,1,1,0,0,0,0,0,4,Yes,35,P3,31.8,Shelter Intake
INC-100111,2025-07-26 06:30:28,Tirana,Fresku,Cat,3,Unknown,Fearful,Normal,Clear,Email,Medium,1,0,0,0,0,0,0,2,No,25,P2,17.65,Referred to Partner Vet
INC-100112,2025-08-26 22:20:00,Tirana,Xhamllik,Cat,1,Adult,Weak,Normal,Heatwave,Walk-in,Low,0,0,0,0,0,0,0,3,No,32,P3,53.32,Shelter Intake
INC-100113,2025-12-15 10:35:08,Tirana,Ali Demi,Cat,1,Puppy/Kitten,Calm,Normal,Clear,App,High,1,0,0,0,1,0,0,3,Yes,52,P3,54.19,Shelter Intake
INC-100114,2025-11-23 04:05:22,Tirana,Selitë,Cat,1,Adult,Calm,Normal,Clear,App,Medium,1,0,0,0,0,0,0,2,No,21,P3,55.29,Shelter Intake
INC-100115,2025-09-01 09:43:07,Tirana,Don Bosko,Cat,1,Adult,Fearful,Normal,Clear,Call,Low,0,1,0,0,0,0,0,3,No,11,P3,46.06,Shelter Intake
INC-100116,2025-04-02 01:38:18,Tirana,Blloku,Cat,1,Puppy/Kitten,Calm,Normal,Clear,Call,Low,0,1,0,0,0,0,0,1,Yes,28,P3,45.54,Monitor
INC-100117,2025-02-23 17:44:23,Tirana,Ali Demi,Dog,1,Puppy/Kitten,Calm,Normal,Clear,WhatsApp,High,1,0,0,0,0,0,0,4,Yes,24,P3,46.72,Treated & Released
INC-100118,2025-03-25 02:11:07,Tirana,Laprakë,Cat,1,Adult,Calm,Normal,Rain,WhatsApp,Low,0,0,0,0,0,0,0,5,Yes,21,P3,46.7,Unable to Locate
INC-100119,2025-06-11 11:17:48,Tirana,Kombinat,Dog,1,Puppy/Kitten,Unknown,Normal,Heatwave,WhatsApp,Low,0,0,0,0,0,0,0,2,No,36,P3,32.96,Referred to Partner Vet
INC-100120,2025-10-26 23:00:59,Tirana,Paskuqan,Dog,1,Adult,Fearful,Normal,Clear,Call,Low,0,1,0,0,0,0,0,3,No,28,P3,37.78,Treated & Released
INC-100121,2025-05-28 17:24:29,Tirana,Kinostudio,Dog,1,Puppy/Kitten,Unknown,Normal,Clear,Call,Medium,0,0,0,0,0,0,0,4,No,13,P3,31.11,Shelter Intake
INC-100122,2025-06-01 10:56:20,Tirana,Xhamllik,Cat,2,Puppy/Kitten,Fearful,Normal,Clear,WhatsApp,Low,0,0,1,0,0,0,0,4,No,30,P2,13.25,Referred to Partner Vet
INC-100123,2025-11-07 15:18:42,Tirana,Paskuqan,Dog,2,Senior,Unknown,Normal,Clear,Email,Low,0,0,0,0,0,0,0,4,No,10,P3,30.96,Treated & Released
INC-100124,2025-07-08 14:30:41,Tirana,Kombinat,Cat,1,Adult,Calm,Unknown,Clear,WhatsApp,Low,0,0,0,0,0,0,0,5,Yes,20,P3,33.97,Treated & Released
INC-100125,2025-06-07 00:30:16,Tirana,Rruga e Kavajës,Dog,2,Adult,Calm,Unknown,Clear,Walk-in,Medium,1,0,0,0,0,0,0,2,No,23,P3,48.85,Referred to Partner Vet
INC-100126,2025-08-30 15:51:18,Tirana,Fresku,Dog,3,Adult,Calm,Normal,Clear,App,Low,0,1,0,0,0,0,0,4,No,29,P3,65.36,Referred to Partner Vet
INC-100127,2025-09-15 11:36:20,Tirana,Kombinat,Dog,1,Unknown,Fearful,Normal,Rain,App,Low,0,0,1,0,0,0,0,2,No,23,P3,51.27,Referred to Partner Vet
INC-100128,2025-06-29 07:20:29,Tirana,Ali Demi,Dog,1,Unknown,Fearful,Immobile,Clear,Call,High,1,0,0,0,0,0,0,4,Yes,33,P2,12.03,Shelter Intake
INC-100129,2025-06-26 14:06:17,Tirana,Astir,Cat,1,Puppy/Kitten,Calm,Normal,Clear,Walk-in,Low,0,0,1,0,1,0,0,4,No,43,P2,10.4,Shelter Intake
INC-100130,2025-10-20 01:14:22,Tirana,Xhamllik,Cat,1,Unknown,Calm,Unknown,Clear,Call,Low,0,0,0,0,0,1,0,2,Yes,21,P3,36.13,Monitor
INC-100131,2025-01-08 12:39:55,Tirana,Rruga e Kavajës,Dog,1,Adult,Weak,Immobile,Cold,WhatsApp,Low,0,0,0,0,0,0,0,3,No,33,P1,5.19,Shelter Intake
INC-100132,2025-09-10 11:46:55,Tirana,Laprakë,Dog,2,Adult,Aggressive,Normal,Rain,Walk-in,Low,0,0,0,0,0,0,0,4,No,14,P3,34.95,Referred to Partner Vet
INC-100133,2025-03-19 10:10:34,Tirana,Xhamllik,Dog,1,Adult,Fearful,Normal,Clear,App,High,1,1,0,0,0,0,0,5,No,23,P3,36.0,Monitor
INC-100134,2025-07-03 21:54:32,Tirana,Selitë,Dog,1,Adult,Unknown,Normal,Clear,WhatsApp,Low,0,0,0,0,0,0,0,4,No,17,P3,39.43,Monitor
INC-100135,2025-09-29 15:29:09,Tirana,Blloku,Cat,1,Adult,Calm,Limping,Clear,App,Low,0,1,0,0,0,0,0,3,Yes,27,P3,30.03,Unable to Locate
INC-100136,2025-10-18 11:10:20,Tirana,Rruga e Kavajës,Dog,1,Adult,Calm,Normal,Rain,Call,Low,0,0,0,0,0,0,0,5,No,16,P3,44.1,Referred to Partner Vet
INC-100137,2025-05-01 19:05:34,Tirana,Laprakë,Dog,1,Puppy/Kitten,Aggressive,Immobile,Clear,Call,Low,0,0,0,0,0,0,0,1,No,34,P3,42.91,Treated & Released
INC-100138,2025-12-19 15:25:01,Tirana,Yzberisht,Cat,1,Senior,Weak,Normal,Clear,WhatsApp,Low,0,0,0,0,0,0,0,1,No,26,P3,33.05,Treated & Released
INC-100139,2025-08-18 22:45:07,Tirana,Rruga e Kavajës,Dog,2,Senior,Fearful,Normal,Clear,Walk-in,Low,0,1,0,0,0,0,0,3,Yes,25,P3,47.08,Treated & Released
